Dish Number,재료명,재료,이미지1,이미지2,이미지3,이미지4,이미지5,이미지6,설명1,설명2,설명3,설명4,설명5,설명6,알러지 정보,칼로리,
23,생선 김치조림,"생선, 김치, 고춧가루, 간장, 다진 마늘, 감자, 대파, 양파, 마늘",http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/1.webp,http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/2.webp,http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/3.webp,http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/4.webp,http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/5.webp,http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/6.webp,신선한 생선을 소금과 후추로 간합니다.,냄비에 생선과 김치를 넣고 함께 익히기 시작합니다.,양파와 다진 마늘을 추가해 향이 배도록 조리합니다.,"고추장, 간장, 물을 넣어 매콤한 국물을 만듭니다.",약불로 줄여 국물이 졸아들고 생선이 부드러워질 때까지 끓입니다.,완성된 조림을 그릇에 담고 파와 참깨로 마무리합니다.,"어류(생선), 어류/갑각류(김치 속 해산물), 대두(간장)",약 300-350 kcal,"INSERT INTO test_recipe VALUES (23, '생선 김치조림', '생선, 김치, 고춧가루, 간장, 다진 마늘, 감자, 대파, 양파, 마늘', 'http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/1.webp', 'http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/2.webp', 'http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/3.webp', 'http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/4.webp', 'http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/5.webp', 'http://kkms4001.iptime.org:45211/static/23. 생선 김치조림/6.webp', '신선한 생선을 소금과 후추로 간합니다.', '냄비에 생선과 김치를 넣고 함께 익히기 시작합니다.', '양파와 다진 마늘을 추가해 향이 배도록 조리합니다.', '고추장, 간장, 물을 넣어 매콤한 국물을 만듭니다.', '약불로 줄여 국물이 졸아들고 생선이 부드러워질 때까지 끓입니다.', '완성된 조림을 그릇에 담고 파와 참깨로 마무리합니다.', '어류(생선), 어류/갑각류(김치 속 해산물), 대두(간장)', '약 300-350 kcal');"
24,생선 감자 스튜,"생선, 감자, 소금, 후추, 물, 떡",http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/1.webp,http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/2.webp,http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/3.webp,http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/4.webp,http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/5.webp,http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/6.webp,"생선을 신선하게 손질하고 소금, 후추로 간을 합니다.",감자를 썰어 준비합니다.,손질한 생선과 감자를 냄비에 넣어 준비합니다.,"양파와 마늘, 약간의 물을 냄비에 추가해 스튜의 기본 국물을 만듭니다.",약불로 줄여 생선과 감자가 부드러워질 때까지 끓입니다.,"완성된 스튜를 그릇에 담고, 파와 참깨를 뿌려 마무리합니다.","어류(생선), 대두(간장)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (24, '생선 감자 스튜', '생선, 감자, 소금, 후추, 물, 떡', 'http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/1.webp', 'http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/2.webp', 'http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/3.webp', 'http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/4.webp', 'http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/5.webp', 'http://kkms4001.iptime.org:45211/static/24. 생선 감자 스튜/6.webp', '생선을 신선하게 손질하고 소금, 후추로 간을 합니다.', '감자를 썰어 준비합니다.', '손질한 생선과 감자를 냄비에 넣어 준비합니다.', '양파와 마늘, 약간의 물을 냄비에 추가해 스튜의 기본 국물을 만듭니다.', '약불로 줄여 생선과 감자가 부드러워질 때까지 끓입니다.', '완성된 스튜를 그릇에 담고, 파와 참깨를 뿌려 마무리합니다.', '어류(생선), 대두(간장)', '약 350-400 kcal');"
25,생선 양파찜,"생선, 양파, 소금, 후추, 떡, 감자, 대파, 마늘",http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/1.webp,http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/2.webp,http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/3.webp,http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/4.webp,http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/5.webp,http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/6.webp,생선 필레에 소금과 후추로 간을 해 준비합니다.,양파를 얇게 썰어 생선과 함께 찌기 위한 준비를 합니다.,"찜기 바닥에 양파를 깔고, 그 위에 간을 한 생선을 올려 쌓기 시작합니다.",생선 위에 추가로 양파와 다진 마늘을 겹겹이 쌓아 향을 더해줍니다.,생선 위에 추가로 양파와 다진 마늘을 겹겹이 쌓아 향을 더해줍니다.,"완성된 생선 양파찜을 그릇에 담고, 파와 참깨로 장식하여 준비합니다.","어류(생선), 대두(간장)",약 300-350 kcal,"INSERT INTO test_recipe VALUES (25, '생선 양파찜', '생선, 양파, 소금, 후추, 떡, 감자, 대파, 마늘', 'http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/1.webp', 'http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/2.webp', 'http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/3.webp', 'http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/4.webp', 'http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/5.webp', 'http://kkms4001.iptime.org:45211/static/25. 생선 양파찜/6.webp', '생선 필레에 소금과 후추로 간을 해 준비합니다.', '양파를 얇게 썰어 생선과 함께 찌기 위한 준비를 합니다.', '찜기 바닥에 양파를 깔고, 그 위에 간을 한 생선을 올려 쌓기 시작합니다.', '생선 위에 추가로 양파와 다진 마늘을 겹겹이 쌓아 향을 더해줍니다.', '생선 위에 추가로 양파와 다진 마늘을 겹겹이 쌓아 향을 더해줍니다.', '완성된 생선 양파찜을 그릇에 담고, 파와 참깨로 장식하여 준비합니다.', '어류(생선), 대두(간장)', '약 300-350 kcal');"
26,생선 마늘 구이,"생선, 마늘, 소금, 후추, 양파",http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/1.webp,http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/2.webp,http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/3.webp,http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/4.webp,http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/5.webp,http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/6.webp,"신선한 생선 필레에 소금, 후추, 다진 마늘로 간을 합니다.",슬라이스한 마늘을 준비해 생선 위에 올립니다.,기름을 두른 그릴 팬에 마늘과 함께 생선을 올려 굽기 시작합니다.,생선을 뒤집어 반대쪽도 갈색이 나도록 굽습니다.,생선이 바삭하고 노릇해질 때까지 익히며 마늘도 살짝 구워줍니다.,"완성된 마늘 구이를 그릇에 담고, 파와 참깨로 장식하여 마무리합니다.","어류(생선), 대두(간장)",약 250-300 kcal,"INSERT INTO test_recipe VALUES (26, '생선 마늘 구이', '생선, 마늘, 소금, 후추, 양파', 'http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/1.webp', 'http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/2.webp', 'http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/3.webp', 'http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/4.webp', 'http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/5.webp', 'http://kkms4001.iptime.org:45211/static/26. 생선 마늘 구이/6.webp', '신선한 생선 필레에 소금, 후추, 다진 마늘로 간을 합니다.', '슬라이스한 마늘을 준비해 생선 위에 올립니다.', '기름을 두른 그릴 팬에 마늘과 함께 생선을 올려 굽기 시작합니다.', '생선을 뒤집어 반대쪽도 갈색이 나도록 굽습니다.', '생선이 바삭하고 노릇해질 때까지 익히며 마늘도 살짝 구워줍니다.', '완성된 마늘 구이를 그릇에 담고, 파와 참깨로 장식하여 마무리합니다.', '어류(생선), 대두(간장)', '약 250-300 kcal');"
27,생선 김치 감자볶음,"생선, 김치, 감자, 간장, 고춧가루, 대파, 마늘, 양파",http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/1.webp,http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/2.webp,http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/3.webp,http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/4.webp,http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/5.webp,http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/6.webp,생선을 소금과 후추로 간하여 준비합니다.,감자를 얇게 썰어 준비합니다.,기름을 두른 팬에 생선을 갈색이 나도록 볶기 시작합니다.,생선이 익기 시작하면 감자와 김치를 팬에 추가하여 함께 볶습니다.,모든 재료가 부드러워지고 감자가 익을 때까지 볶아줍니다.,"완성된 요리를 접시에 담고, 파와 참깨로 장식하여 마무리합니다.","어류(생선), 어류/갑각류(김치 속 해산물), 대두(간장)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (27, '생선 김치 감자볶음', '생선, 김치, 감자, 간장, 고춧가루, 대파, 마늘, 양파', 'http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/27. 생선 김치 감자볶음/6.webp', '생선을 소금과 후추로 간하여 준비합니다.', '감자를 얇게 썰어 준비합니다.', '기름을 두른 팬에 생선을 갈색이 나도록 볶기 시작합니다.', '생선이 익기 시작하면 감자와 김치를 팬에 추가하여 함께 볶습니다.', '모든 재료가 부드러워지고 감자가 익을 때까지 볶아줍니다.', '완성된 요리를 접시에 담고, 파와 참깨로 장식하여 마무리합니다.', '어류(생선), 어류/갑각류(김치 속 해산물), 대두(간장)', '약 350-400 kcal');"
28,생선 대파 무침,"생선, 대파, 간장, 고춧가루, 참기름",http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/1.webp,http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/2.webp,http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/3.webp,http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/4.webp,http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/5.webp,http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/6.webp,신선한 생선을 얇게 썰어 소금과 후추로 간합니다.,대파를 얇게 썰어 준비합니다.,손질한 생선과 대파를 큰 볼에 넣습니다.,"간장, 다진 마늘, 참기름으로 만든 양념 소스를 생선과 대파에 더합니다.",생선과 대파가 소스에 고루 코팅되도록 잘 섞어줍니다.,"완성된 무침을 접시에 담고, 참깨와 참기름을 더해 마무리합니다.","생선 알러지 ,참기름 알러지",약 250 kcal,"INSERT INTO test_recipe VALUES (28, '생선 대파 무침', '생선, 대파, 간장, 고춧가루, 참기름', 'http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/1.webp', 'http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/2.webp', 'http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/3.webp', 'http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/4.webp', 'http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/5.webp', 'http://kkms4001.iptime.org:45211/static/28. 생선 대파 무침/6.webp', '신선한 생선을 얇게 썰어 소금과 후추로 간합니다.', '대파를 얇게 썰어 준비합니다.', '손질한 생선과 대파를 큰 볼에 넣습니다.', '간장, 다진 마늘, 참기름으로 만든 양념 소스를 생선과 대파에 더합니다.', '생선과 대파가 소스에 고루 코팅되도록 잘 섞어줍니다.', '완성된 무침을 접시에 담고, 참깨와 참기름을 더해 마무리합니다.', '생선 알러지 ,참기름 알러지', '약 250 kcal');"
29,생선 양파 구이,"생선, 양파, 소금, 후추, 마늘, 대파",http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/1.webp,http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/2.webp,http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/3.webp,http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/4.webp,http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/5.webp,http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/6.webp,신선한 생선을 얇게 썰어 소금과 후추로 간합니다.,"양파를 슬라이스하고, 허브와 함께 생선 위에 올리고 올리브 오일을 뿌립니다.","생선과 양파를 그릴 팬에 올리고, 허브와 마늘을 함께 배치합니다.",생선과 양파가 노릇하게 캐러멜화될 때까지 굽습니다.,구운 생선과 양파를 도마에 내려놓고 신선한 허브로 장식합니다.,완성된 생선 양파 구이를 접시에 담고 레몬 조각과 허브로 장식합니다.,"생선 알러지 ,올리브 오일 알러지",약 300-350 kcal,"INSERT INTO test_recipe VALUES (29, '생선 양파 구이', '생선, 양파, 소금, 후추, 마늘, 대파', 'http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/1.webp', 'http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/2.webp', 'http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/3.webp', 'http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/4.webp', 'http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/5.webp', 'http://kkms4001.iptime.org:45211/static/29. 생선 양파 구이/6.webp', '신선한 생선을 얇게 썰어 소금과 후추로 간합니다.', '양파를 슬라이스하고, 허브와 함께 생선 위에 올리고 올리브 오일을 뿌립니다.', '생선과 양파를 그릴 팬에 올리고, 허브와 마늘을 함께 배치합니다.', '생선과 양파가 노릇하게 캐러멜화될 때까지 굽습니다.', '구운 생선과 양파를 도마에 내려놓고 신선한 허브로 장식합니다.', '완성된 생선 양파 구이를 접시에 담고 레몬 조각과 허브로 장식합니다.', '생선 알러지 ,올리브 오일 알러지', '약 300-350 kcal');"
30,생선 마늘 구이,"생선, 마늘, 소금, 후추, 양파, 대파",http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/1.webp,http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/2.webp,http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/3.webp,http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/4.webp,http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/5.webp,http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/6.webp,신선한 생선을 얇게 썰어 소금과 후추로 간합니다.,얇게 썬 마늘을 생선 위에 올리고 올리브 오일을 뿌립니다.,마늘과 함께 준비된 생선을 그릴 팬에 올리고 허브를 주변에 배치합니다.,생선과 마늘을 그릴에서 구워 노릇하게 갈색으로 변할 때까지 익힙니다.,구운 생선과 마늘을 도마에 내려놓고 신선한 허브로 장식합니다.,완성된 생선 마늘 구이를 접시에 담아 레몬 조각과 신선한 허브로 장식합니다.,"생선 알러지 ,올리브 오일 알러지",약 300-350 kcal,"INSERT INTO test_recipe VALUES (30, '생선 마늘 구이', '생선, 마늘, 소금, 후추, 양파, 대파', 'http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/1.webp', 'http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/2.webp', 'http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/3.webp', 'http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/4.webp', 'http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/5.webp', 'http://kkms4001.iptime.org:45211/static/30. 생선 마늘 구이/6.webp', '신선한 생선을 얇게 썰어 소금과 후추로 간합니다.', '얇게 썬 마늘을 생선 위에 올리고 올리브 오일을 뿌립니다.', '마늘과 함께 준비된 생선을 그릴 팬에 올리고 허브를 주변에 배치합니다.', '생선과 마늘을 그릴에서 구워 노릇하게 갈색으로 변할 때까지 익힙니다.', '구운 생선과 마늘을 도마에 내려놓고 신선한 허브로 장식합니다.', '완성된 생선 마늘 구이를 접시에 담아 레몬 조각과 신선한 허브로 장식합니다.', '생선 알러지 ,올리브 오일 알러지', '약 300-350 kcal');"
31,계란 김치 볶음밥,"계란, 김치, 밥, 간장, 참기름, 대파, 마늘, 감자",http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/1.webp,http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/2.webp,http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/3.webp,http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/4.webp,http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/5.webp,http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/6.webp,김치를 잘게 썰어 도마에 준비합니다.,계란을 볼에 넣고 잘 휘젓습니다.,"김치와 마늘, 쪽파를 팬에 넣고 참기름을 약간 두르고 볶습니다.",밥을 팬에 넣고 김치와 섞어줍니다.,풀어놓은 계란을 밥 위에 부어 고르게 섞어줍니다.,완성된 계란 김치 볶음밥을 접시에 담아 참깨와 쪽파로 장식합니다.,"계란 알러지 ,대두(김치에 포함된 소스에 있을 수 있음) 알러지",약 450-500 kcal,"INSERT INTO test_recipe VALUES (31, '계란 김치 볶음밥', '계란, 김치, 밥, 간장, 참기름, 대파, 마늘, 감자', 'http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/1.webp', 'http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/2.webp', 'http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/3.webp', 'http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/4.webp', 'http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/5.webp', 'http://kkms4001.iptime.org:45211/static/31. 계란 김치 볶음밥/6.webp', '김치를 잘게 썰어 도마에 준비합니다.', '계란을 볼에 넣고 잘 휘젓습니다.', '김치와 마늘, 쪽파를 팬에 넣고 참기름을 약간 두르고 볶습니다.', '밥을 팬에 넣고 김치와 섞어줍니다.', '풀어놓은 계란을 밥 위에 부어 고르게 섞어줍니다.', '완성된 계란 김치 볶음밥을 접시에 담아 참깨와 쪽파로 장식합니다.', '계란 알러지 ,대두(김치에 포함된 소스에 있을 수 있음) 알러지', '약 450-500 kcal');"
32,계란 감자 오믈렛,"계란, 감자, 소금, 후추, 식용유, 양파",http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/1.webp,http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/2.webp,http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/3.webp,http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/4.webp,http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/5.webp,http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/6.webp,감자를 얇게 슬라이스하여 준비합니다.,계란을 볼에 넣고 휘젓습니다.,팬에 기름을 두르고 감자를 볶아줍니다.,익은 감자 위에 푼 계란을 부어줍니다.,계란과 감자 혼합물을 오믈렛 모양으로 익히며 접어줍니다.,완성된 계란 감자 오믈렛을 접시에 담고 쪽파로 장식합니다.,계란 알러지,약 300-350 kcal,"INSERT INTO test_recipe VALUES (32, '계란 감자 오믈렛', '계란, 감자, 소금, 후추, 식용유, 양파', 'http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/1.webp', 'http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/2.webp', 'http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/3.webp', 'http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/4.webp', 'http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/5.webp', 'http://kkms4001.iptime.org:45211/static/32. 계란 감자 오믈렛/6.webp', '감자를 얇게 슬라이스하여 준비합니다.', '계란을 볼에 넣고 휘젓습니다.', '팬에 기름을 두르고 감자를 볶아줍니다.', '익은 감자 위에 푼 계란을 부어줍니다.', '계란과 감자 혼합물을 오믈렛 모양으로 익히며 접어줍니다.', '완성된 계란 감자 오믈렛을 접시에 담고 쪽파로 장식합니다.', '계란 알러지', '약 300-350 kcal');"
33,계란 떡국,"계란, 떡, 국간장, 대파, 마늘, 양파",http://kkms4001.iptime.org:45211/static/33. 계란 떡국/1.webp,http://kkms4001.iptime.org:45211/static/33. 계란 떡국/2.webp,http://kkms4001.iptime.org:45211/static/33. 계란 떡국/3.webp,http://kkms4001.iptime.org:45211/static/33. 계란 떡국/4.webp,http://kkms4001.iptime.org:45211/static/33. 계란 떡국/5.webp,http://kkms4001.iptime.org:45211/static/33. 계란 떡국/6.webp,떡을 얇게 썰어 도마에 준비합니다.,계란을 볼에 넣고 휘젓습니다.,냄비에 물을 끓이고 썰어둔 떡과 다진 마늘을 추가합니다.,끓는 떡국에 푼 계란을 천천히 붓습니다.,국을 부드럽게 저어가며 계란을 국물과 섞습니다.,완성된 계란 떡국을 그릇에 담고 쪽파와 참깨를 뿌려 장식합니다.,"계란 알러지,떡에 쌀 알러지 ",약 250-300 kcal,"INSERT INTO test_recipe VALUES (33, '계란 떡국', '계란, 떡, 국간장, 대파, 마늘, 양파', 'http://kkms4001.iptime.org:45211/static/33. 계란 떡국/1.webp', 'http://kkms4001.iptime.org:45211/static/33. 계란 떡국/2.webp', 'http://kkms4001.iptime.org:45211/static/33. 계란 떡국/3.webp', 'http://kkms4001.iptime.org:45211/static/33. 계란 떡국/4.webp', 'http://kkms4001.iptime.org:45211/static/33. 계란 떡국/5.webp', 'http://kkms4001.iptime.org:45211/static/33. 계란 떡국/6.webp', '떡을 얇게 썰어 도마에 준비합니다.', '계란을 볼에 넣고 휘젓습니다.', '냄비에 물을 끓이고 썰어둔 떡과 다진 마늘을 추가합니다.', '끓는 떡국에 푼 계란을 천천히 붓습니다.', '국을 부드럽게 저어가며 계란을 국물과 섞습니다.', '완성된 계란 떡국을 그릇에 담고 쪽파와 참깨를 뿌려 장식합니다.', '계란 알러지,떡에 쌀 알러지 ', '약 250-300 kcal');"
34,계란 대파 볶음밥,"계란, 대파, 밥, 간장, 참기름, 마늘, 양파",http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/1.webp,http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/2.webp,http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/3.webp,http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/4.webp,http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/5.webp,http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/6.webp,대파를 얇게 송송 썰어 준비합니다.,계란 2개를 그릇에 넣고 소금 약간을 넣어 잘 풀어줍니다.,팬에 식용유나 버터를 약간 두르고 중불로 예열합니다.,풀어놓은 계란을 팬에 넣고 살살 저어가며 스크램블을 만듭니다.,"계란이 거의 익으면 대파를 넣고 잠시 볶은 후, 밥 한 공기를 넣고 소금과 후추로 간을 맞추며 골고루 볶아줍니다.",완성된 볶음밥을 그릇에 담고 송송 썬 대파와 참깨를 뿌려 마무리합니다.,"계란알러지 ,대파알러지",약 350~400kcal,"INSERT INTO test_recipe VALUES (34, '계란 대파 볶음밥', '계란, 대파, 밥, 간장, 참기름, 마늘, 양파', 'http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/1.webp', 'http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/2.webp', 'http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/3.webp', 'http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/4.webp', 'http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/5.webp', 'http://kkms4001.iptime.org:45211/static/34. 계란 대파 볶음밥/6.webp', '대파를 얇게 송송 썰어 준비합니다.', '계란 2개를 그릇에 넣고 소금 약간을 넣어 잘 풀어줍니다.', '팬에 식용유나 버터를 약간 두르고 중불로 예열합니다.', '풀어놓은 계란을 팬에 넣고 살살 저어가며 스크램블을 만듭니다.', '계란이 거의 익으면 대파를 넣고 잠시 볶은 후, 밥 한 공기를 넣고 소금과 후추로 간을 맞추며 골고루 볶아줍니다.', '완성된 볶음밥을 그릇에 담고 송송 썬 대파와 참깨를 뿌려 마무리합니다.', '계란알러지 ,대파알러지', '약 350~400kcal');"
35,계란 마늘 프라이,"계란, 마늘, 소금, 후추, 식용유, 대파",http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/1.webp,http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/2.webp,http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/3.webp,http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/4.webp,http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/5.webp,http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/6.webp,마늘을 얇게 슬라이스로 썰어 준비합니다.,팬에 식용유를 약간 두르고 중약불로 예열합니다.,팬에 마늘을 넣고 노릇노릇해질 때까지 볶아 향을 냅니다.,마늘이 노릇해지면 계란을 깨서 팬에 넣습니다.,계란 위에 소금과 후추를 약간 뿌려 간을 맞춥니다.,계란의 흰자는 익히고 노른자는 반숙이 될 때까지 프라이를 한 뒤 접시에 담아냅니다.,"계란 알러지 , 마늘 알러지",약 150~200kcal,"INSERT INTO test_recipe VALUES (35, '계란 마늘 프라이', '계란, 마늘, 소금, 후추, 식용유, 대파', 'http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/1.webp', 'http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/2.webp', 'http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/3.webp', 'http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/4.webp', 'http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/5.webp', 'http://kkms4001.iptime.org:45211/static/35. 계란 마늘 프라이/6.webp', '마늘을 얇게 슬라이스로 썰어 준비합니다.', '팬에 식용유를 약간 두르고 중약불로 예열합니다.', '팬에 마늘을 넣고 노릇노릇해질 때까지 볶아 향을 냅니다.', '마늘이 노릇해지면 계란을 깨서 팬에 넣습니다.', '계란 위에 소금과 후추를 약간 뿌려 간을 맞춥니다.', '계란의 흰자는 익히고 노른자는 반숙이 될 때까지 프라이를 한 뒤 접시에 담아냅니다.', '계란 알러지 , 마늘 알러지', '약 150~200kcal');"
